Designator,Footprint,Quantity,Value,LCSC Part #
C1,0402,1,100pF,
"C1A1, C2A1, C2B1",1206,3,22μF,
C1B1,1206,1,0.1μF,
C2,0402,1,0.1uF,
C3,0402,1,0.1μF,
C4,0402,1,22nF,
C5,0402,1,300pF,
D1,0402,1,RXD,
D2,D_DO-35_SOD27_P7.62mm_Horizontal,1,1N4148,
D3,0402,1,TXD,
"D4, D5, D6",D_SMA,3,SMAJ6.5CA,
"F1, F2",0603,2,0.3A,
J1,RJ9_Evercom_5301-440xxx_Horizontal,1,4P4C,
J2,PinHeader_1x04_P1.27mm_Horizontal,1,Conn_01x04_Pin,
L1,L_Coilcraft_XAL4030-XXX,1,6.8μH,
R1,0402,1,90.9kΩ,
"R10, R7",0402,2,2.4k,
"R11, R12, R13, R8",0402,4,4.7k,
"R2, R5, R6",0402,3,10kΩ,
R3,0402,1,191kΩ,
R4,0402,1,49.9kΩ,
R9,0402,1,56k,
U1,Teensy41,1,Teensy4.1,
U2,SOT583_MP2338_MNP,1,MP2338GTL-P,
U3,DIP-14_W7.62mm,1,4069,
U4,SOIC-8_3.9x4.9mm_P1.27mm,1,MAX485E,
