Designator,Mid X,Mid Y,Rotation,Layer
C1,104.432314,-81.429406,180.0,top
C1A1,114.351145,-39.650542,180.0,top
C1B1,114.351145,-42.050542,180.0,top
C2,119.347961,-71.835544,180.0,top
C2A1,107.766145,-40.050542,0.0,top
C2B1,107.766145,-42.450542,0.0,top
C3,112.351145,-46.450542,90.0,top
C4,115.951145,-49.250542,270.0,top
C5,118.351145,-49.250542,270.0,top
D1,120.992827,-93.399028,180.0,top
D2,111.964353,-81.593862,180.0,top
D3,110.800857,-93.375057,180.0,top
D4,105.0,-76.4,90.0,top
D5,106.8,-71.0,180.0,top
D6,108.6,-76.4,90.0,top
F1,104.8,-67.6,90.0,top
F2,108.8,-67.6,90.0,top
J1,111.234947,-31.164319,90.0,top
J2,89.345831,-88.94627,0.0,top
J3,96.569238,-88.967975,0.0,top
L1,107.566145,-47.450542,180.0,top
R1,119.551145,-49.250542,270.0,top
R10,108.790842,-93.39139,0.0,top
R11,104.422314,-82.429406,180.0,top
R12,106.8,-67.2,180.0,top
R13,106.8,-68.4,180.0,top
R2,117.151145,-49.250542,90.0,top
R3,113.351145,-48.850542,90.0,top
R4,114.551145,-48.850542,270.0,top
R5,118.461145,-44.250542,0.0,top
R6,118.351145,-47.650542,0.0,top
R7,118.983922,-93.399028,0.0,top
R8,119.347961,-72.835544,0.0,top
R9,112.6,-79.4,180.0,top
U1,94.38,-56.07,270.0,top
U2,115.751145,-45.450542,270.0,top
U3,113.19806,-87.990399,90.0,top
U4,118.0,-77.4,270.0,top
